大类,问题的根因,问题的症状描述
bug,资源分配问题,内存利用率达100%引发ChildFailedError异常
bug,代码版本不匹配,actor_checkpoint_prompts.pt与代码版本不兼容导致状态字典加载失败
bug,环境配置错误,测试或推理环境运行失败或无响应
bug,依赖版本冲突,模块导入或运行时报错
bug,参数拼写错误,kwargs未被正确识别导致运行错误
bug,GPU内存不足,CUDA out of memory错误或OOM
bug,属性缺失,AttributeError异常
bug,分布式通信差异,训练过程中挂起或卡住
bug,模块功能冲突,功能异常或崩溃
bug,资源分配不均,显存占用过高
bug,并行配置错误,初始化两次或训练不加速
bug,CI/构建配置错误,CI构建失败或Docker错误
bug,文档拼写/语言错误,文档中存在错别字或不通顺
bug,不支持平台,在Windows环境安装失败
bug,内核构建失败,Bus error或kernel build失败
bug,检查点加载错误,load_checkpoint时报错缺少键
bug,GroupNorm实现错误,元信息传播失败导致运行失败
bug,模块缺失或导入错误,出现ModuleNotFoundError导致运行失败
bug,参数传递方式错误,传参格式或类型错误导致TypeError或无法解析
bug,缺少关键键,缺少state_dict加载所需的键导致无法加载模型
bug,模型初始化不当,模型未正确初始化导致OOM或推理失败
bug,文件下载异常,模型文件下载中断或损坏导致训练或推理失败
bug,属性缺失,缺少example_input_array等属性导致无法记录计算图或运行卡住
bug,维度或形状不匹配,hidden_size或tensor形状不符合要求导致RuntimeError
bug,环境依赖或配置冲突,pyproject.toml或CUDA_EXT等配置冲突导致安装或运行失败
bug,分布式/多节点配置错误,多机或多GPU设备未正确识别导致卡住或训练中断
bug,预构建内核缺失,缺少预编译核心导致运行时动态构建卡住
bug,内存不足或溢出,内存占用过高导致OOM或训练过程终止
bug,性能或启动速度问题,示例启动或推理速度过慢影响使用体验
bug,CI/工作流配置错误,post-commit或pre-commit流程异常显示错误状态
bug,文档或示例代码错误,README或示例脚本拼写/描述错误导致用户混淆
bug,网络或IO故障,IPv6地址无法获取或网络下载失败导致运行中断
bug,环境配置错误,多机多卡训练通信失败或CUBLAS_STATUS_INVALID_VALUE等运行错误
bug,参数配置错误,并行策略rank或world_size设置不正确导致报错
bug,模块导入或依赖缺失,加载模型或库时出现ModuleNotFoundError或无法找到cudart
bug,维度或形状不匹配,layer norm或张量形状不符导致RuntimeError
bug,缺少属性或方法,Trainer缺少add_argparse_args属性导致AttributeError
bug,内存访问或Segmentation fault,非法内存访问或段错误
bug,版本或兼容性冲突,CUDA/torch/colossalai版本不匹配导致安装或运行异常
bug,通信或资源分配错误,backward communication error或socket连接超时
bug,缺失功能或预构建组件,pre-built kernel或checkpoint保存逻辑缺失导致功能不可用
bug,文档或示例不足,示例代码或文档格式错误影响使用
bug,训练逻辑不支持,某些torch函数或Zero/LoRA策略不支持特定参数导致运行失败
bug,拼写错误,文本或文档中存在拼写错误
bug,内存不足,出现CUDA out of memory错误
bug,模型初始化失败,AttributeError导致训练无法继续
bug,文档缺失或错误,缺乏清晰指导导致无法正确实施
bug,版本解析错误,命令行工具版本检查失败
bug,导入错误,ImportError或ModuleNotFoundError
bug,网络地址解析错误,IPv6地址无法检索导致运行失败
bug,计算逻辑错误,reward计算值不正确
bug,私有API变更,torch._six子模块被移除导致导入失败
bug,配置或参数错误,命令行参数设置错误导致Traceback
bug,模块兼容性问题,Flash attention未移除导致需重新安装
bug,平台不兼容,Windows11不支持shell指令导致演示无法运行
bug,CI/CD流程配置错误,notify job条件缺失导致CI/CD失败
bug,安装链接错误,URL链接错误导致安装失败
bug,设备分配错误,fake_param设备选择不正确
bug,分布式兼容性测试失败,autoparallel兼容性测试出现错误
bug,分片初始化形状不匹配,shard_init导致形状不匹配错误
requirement,文档需求,缺少清晰的实施指南
bug,内存不足,OOM (out of memory) 错误
bug,模块导入错误,No module named '...' 错误
bug,拼写错误,文档或代码中出现拼写错误
bug,版本不匹配,依赖冲突导致无法导入或属性缺失
bug,依赖缺失,未安装必要库（如 apex）导致构建或运行失败
bug,参数配置错误,错误的参数名或参数值导致运行失败
bug,环境配置错误,环境设置不匹配导致运行时报错
bug,构建缓存失败,构建缓存无法命中导致 CI 构建失败
bug,命名错误,方法或变量命名错误导致功能失效
bug,质量问题,采样结果质量差
bug,API 接口变更,接口变化导致自动并行测试失败
bug,测试流程错误,测试覆盖率报告格式错误导致报告生成失败
bug,文档链接损坏,徽章或链接无法正常显示
bug,发布流程错误,release workflows 执行失败
bug,拼写错误,导致 workflow 运行失败
bug,类型不匹配,抛出 TypeError 错误
bug,版本不一致,pip 安装失败或上传到 pypi 版本号错误
bug,兼容性问题,兼容测试失败或与第三方库交互异常
bug,依赖或环境配置错误,ModuleNotFoundError 或 Dockerfile 配置错误
bug,路径或权限错误,无法找到文件或选择错误目录
bug,资源或环境问题,超时错误或死锁导致训练/作业中断
bug,日志过载,日志中过多输出导致信息丢失或性能下降
bug,checkpoint 保存错误,checkpoint 文件过小或张量为空无法加载
bug,工作流结构错误,检测变更文件或 skip 条件错误导致作业跳过
bug,形状信息不匹配,SPMD 求解器输出形状无法匹配导致运算失败
bug,梯度累积逻辑错误,所有 logits 变为 0 或训练结果异常
bug,子模块无效,无效 submodule 导致项目构建或加载失败
bug,参数设置错误,功能异常或进度条不显示
bug,硬件/并行策略配置问题,NCCL 超时或混合并行单元测试失败
bug,导入符号缺失,模块无法正确导入
bug,通信节点插入破坏检查点结构,图模块含意外检查点函数
bug,优化器不兼容导致ImportError,抛出ImportError异常
bug,CI示例配置错误,CI流程失败
bug,主机名解析不一致,本地运行报错
bug,resume参数缺失输入属性,程序无法正常运行
bug,图片大小及worker数修改,生成模糊网格图片
bug,PyTorch nightly缺少属性,出现AttributeError
bug,initialize.py警告修复未生效,警告信息错误
bug,条件检查逻辑错误,工作流执行异常
bug,metadata类型假设错误,post_process冲突
bug,添加callbacks时精度不兼容,RuntimeError
bug,子进程错误信息未传递,主进程无错误提示
bug,忽略参数未警告,zero模块潜在问题
bug,种子设置冲突,随机结果不一致
bug,state_dict忽略参数,zero3模型加载异常
bug,错误日志信息不足,启动失败难以诊断
bug,CUDA版本不兼容,抛出invalid device ordinal
bug,代码逻辑错误,输出图片带随机噪音
bug,覆盖率报告过长,PR讨论困难
bug,覆盖率阈值逻辑错误,未报告低覆盖率
bug,ShardedOptimizerV2 inf检测,程序错误提示
bug,空issue提醒,无实际内容
bug,重复示例代码,代码库冗余
bug,设备不匹配,RuntimeError:张量位于不同设备
bug,拼写错误,分布式训练支持失败
bug,文件变更检测缺失,CUDA扩展缓存恢复失败
bug,glibc依赖缺失,安装检查命令失败
bug,高内存消耗,checkpoint保存时OOM
bug,CLI检查过时,无法正确检测CUDA扩展
bug,输入类型与权重类型不匹配,RuntimeError
bug,rank混淆,LowLevelZeroOptimizer问题
bug,文档缺失或错误,文档问题报告
bug,热修复内容缺失,问题未解决
bug,导入错误,FusedLayerNormAffineFunction导入失败
bug,CUDA扩展缓存失效,构建流程中CUDA内核未重新构建
bug,版本不匹配,模块或示例无法运行并出现函数调用错误
bug,依赖缺失,模块导入失败或缺少_posixsubprocess/xformers等导致训练中断
bug,拼写错误,文档或代码中单词拼写错误引发构建或运行异常
bug,参数未设置或丢失,state_dict中缺少参数或加载检查点失败
bug,内存不足,CUDA内存溢出导致训练失败
bug,文件路径配置错误,文件或目录未找到导致运行中断
bug,发布流程脚本错误,pypi release 或 CI workflow 构建失败
bug,功能不兼容,调用时抛出 NotImplementedError 或 torch 函数不兼容
bug,数据类型错误,参数类型错误导致断言或运行时异常
bug,未调用父类初始化,super().__init__() 缺失导致类初始化失败
bug,并行种子设置错误,多节点训练中 gpc.set_seed() 未生效引发 AssertionError
bug,重复计算逻辑,重复计算 L2 范式导致断言错误并出现 NaN
bug,代码实现错误或不完整,无法正确构建或执行特定操作（如scaled_upper_triang_masked_softmax构建失败）
bug,分布式通信连接失败,多节点多NIC环境下模型训练或推断无法启动
bug,数据处理或移动不及时,Pipeline Middleware导致通信冗余或RPC死锁
bug,变量或常量未定义,logger.py中未定义 `_FORMAT` 导致程序报错
bug,环境变量或配置缺失,CUDA_HOME未设置或依赖路径错误导致构建失败
bug,库或版本兼容性问题,第三方库（如timm与torch）不兼容导致模型无法加载或运行
bug,资源泄漏或不足,内存泄漏或多GPU推断内存不足导致运行失败
bug,参数处理逻辑错误,autoparallel模块getitem处理不当导致输出tensor维度错误
bug,类型提示或类型转换错误,Python实例无法转换为C++类型或TypeError异常抛出
bug,函数或方法调用参数缺失,函数缺少kwargs或out参数处理不当导致TypeError
bug,文档或标签拼写错误,README或代码注释中拼写错误影响可读性
bug,缺失功能支持,IPv6或自动并行功能未实现导致调用失败
bug,测试或脚本错误,benchmark.sh或测试脚本异常导致性能测试或保存加载失效
bug,策略选择限制,get_attr handler策略选择受限未选中最佳策略导致性能或正确性问题
bug,版本兼容性问题,训练时因CUDA、PyTorch、框架版本不匹配导致失败
bug,代码逻辑错误,计算错误、程序崩溃、策略注册失败、断言过严、节点合并问题
bug,模块初始化问题,参数初始化顺序错误、未正确处理元参数、模块初始化失败
bug,模块间兼容性问题,tracer检测不一致、策略冲突、梯度未释放、数据竞争
bug,测试用例缺陷,单元测试挂起、缺少测试用例、测试模型类型增加导致失败
bug,资源管理问题,内存泄漏、CPU占用过高、GPU未释放、checkpoint文件异常
bug,配置错误,搜索chunk配置失败、参数设置错误、eval使用不当
bug,API使用不当,传入未预期的关键字参数导致TypeError
bug,依赖管理问题,框架安装时无法识别已安装的Torch版本
bug,拼写错误或命名问题,变量未定义、属性缺失、类名不符合实际功能
bug,功能实现缺陷,HybridAdam不可用、NFC功能异常、ParamOpHook不支持参数类型
bug,共享模块处理问题,tracer无法正确处理共享模块导致错误
bug,通信逻辑错误,非连续张量通信未正确处理、all reduce兼容性问题
bug,文档或注释错误,代码注释不准确导致开发者误解
bug,参数配置错误,训练过程报错或表现不一致
bug,版本兼容性问题,运行时报ModuleNotFoundError或不兼容错误
bug,模块缺失,导入时报ModuleNotFoundError
bug,拼写错误,命令或配置文件中出现拼写导致执行失败
bug,构建脚本或CI流程错误,构建失败或缺少编译产物
bug,内存泄漏,内存持续增长直至耗尽
bug,内存追踪错误,追踪模块报错导致运行中断
bug,测试用例设计缺陷,单元测试无法通过或覆盖不全
bug,环境设置错误,程序无响应或依赖无法加载
bug,OP兼容性问题,特定模型或操作无法执行
bug,GPU资源未利用,GPU利用率为0但内存被占用
bug,精度类型不匹配,报“expected scalar type Half but found Float”错误
bug,检查点保存失败,调用保存函数时程序异常退出
bug,初始化逻辑错误,模型无法正确初始化
bug,配置参数错误,训练或功能无法运行
bug,文件忽略配置缺失,多余文件未被忽略导致仓库混乱
bug,模块导入或依赖冲突,模块加载失败或功能异常
bug,版本兼容性问题,运行或构建时报错
bug,缺少必要文件,功能调用时报错
bug,内存管理问题,训练过程中出现内存泄漏或不足
bug,代码格式或命名错误,格式检查或路径匹配失败
bug,测试逻辑或缓存设置错误,单元测试失败或被跳过
bug,通信或维度转换错误,运算过程中出现AssertionError或数据错位
bug,实现逻辑错误,分片策略形状不一致
bug,缺少正确性检查,生成无效策略导致错误
bug,异常处理缺失,非法策略未被拦截
bug,版本兼容问题,接口调用报错
bug,配置或环境问题,git操作失败
bug,内存管理错误,出现内存泄漏或断言错误
bug,测试用例遗漏或跳过,单元测试失败
bug,计算成本错误,resharding成本计算不准确
requirement,功能支持缺失,缺少num_microbatches支持
requirement,无策略节点未移除,自动并行包含空策略节点
bug,命名错误,变量或命名空间错误导致功能异常或显示不正确
bug,重复定义,函数或方法被重复定义导致冗余或冲突
bug,初始化流程缺陷,在初始化或构造阶段未正确设置上下文或参数导致失败
bug,内存估算不准确,计算图执行差异或算法精度不足导致内存估算结果错误
bug,并行分片缺陷,嵌入表或张量分片逻辑错误导致精度或性能问题
bug,多进程死锁,在容器中多进程训练或推理时出现死锁占用GPU资源
bug,策略逻辑错误,节点合并或策略生成逻辑缺陷导致计算内核生成异常或性能问题
bug,文档或配置错误,文档字符串或配置选项错误导致功能不正常
bug,测试覆盖/干扰,测试用例缺失或相互干扰导致测试失败或遗漏
bug,激活检查点缺陷,对inplace操作或checkpoint流程处理不当导致反向计算错误
bug,数据分发不稳定,pipeline/rpc模块数据分发逻辑不稳定导致检查点或1F1B操作错误
bug,性能或内存泄漏,CPU缓存操作或并行嵌入未使用Tensor类型导致泄漏或性能下降
bug,内部统计计算错误,MetaInfoProp或操作时间离散化等内部计算逻辑错误导致统计异常
requirement,预算自动估算,通过网格搜索自动估算预算以替代手动提供预算
bug,版本兼容性问题,因PyTorch或外部库版本不匹配导致测试或运行失败
bug,缺失或不一致的函数/方法,缺少必要的校验函数或命名不规范导致计算或调用错误
bug,空指针或内存管理问题,空指针或内存使用异常导致崩溃或内存溢出
bug,分布式/优化器集成问题,分布式训练或优化器集成逻辑缺陷导致梯度计算或DDP失败
bug,测试代码和CI问题,测试脚本或CI配置错误导致单元测试失败或被跳过
bug,checkpoint和状态保存加载问题,checkpoint或state_dict保存加载逻辑错误导致模型恢复或梯度不正确
bug,外部API或库更新,依赖的API或库升级导致函数签名或接口变化引发CI或运行故障
bug,代码实现或逻辑缺陷,代码拼写、缩进或逻辑处理遗漏导致功能不完整或追踪失败
bug,参数或配置错误,参数设置不当或分区策略不合理导致结果不稳定或性能下降
bug,文件或引用问题,文件缺失或循环引用导致构建失败
bug,张量形状不匹配,反向传播过程中出现 shape error
bug,检查点保存/加载逻辑错误,保存或加载 checkpoint 导致测试不通过
bug,代码格式错误,因代码格式不规范引发功能异常或不稳定
bug,测试用例缺失或重复,单元测试失败或测试用例被跳过
bug,依赖库导入缺失,缺少 pytest 导入导致测试无法运行
bug,Tracing 逻辑错误,模型跟踪失败导致结果不一致
bug,断言错误,断言失败中断程序执行
bug,循环导入,模块相互导入导致运行时报错
bug,内存泄漏,Op hook 使用导致 CUDA 内存过度分配
bug,通信阻塞,p2p 通信阻塞导致程序挂起
bug,属性/接口不友好,不友好属性设计引起使用障碍
bug,序列化错误,pickle dump 失败导致无法序列化对象
bug,API使用不当,使用不支持的嵌套功能导致错误训练结果
bug,代码重构引入错误,调度程序重构后出现功能异常
bug,参数序列化错误,模型检查点期间无法序列化参数
bug,格式配置错误,YAML文件格式错误导致程序崩溃
bug,日志管理不当,日志记录过于频繁导致系统资源浪费
bug,数据类型不一致,自动类型转换导致张量规格信息丢失
bug,资源管理缺陷,内存监控异常或内存消耗激增
bug,分布式通信问题,all-to-all通信方式优化引发异常
bug,环境配置错误,PyTorch版本与CUDA环境不兼容
bug,测试用例缺陷,单元测试硬编码GPU数量导致验证失败
bug,初始化流程错误,上下文管理器未正确返回对象属性
bug,功能实现缺陷,自动梯度函数处理张量类型不完整
bug,参数配置错误,BATCH_SIZE与GPU数量关系不当导致准确度异常
bug,功能兼容性问题,ZeRO与momentum SGD组合引发溢出错误
bug,并行处理缺陷,多GPU测试流程条件判断错误
bug,性能优化缺陷,持续运行cudnn benchmark导致处理速度下降
bug,异常处理缺失,未正确处理空hooks导致内存消耗异常
bug,通信协议缺陷,P2P连接更改后出现功能异常
bug,注册表管理错误,重复注册导致系统行为异常
bug,输入处理缺陷,模型输出类型支持不完整导致运行时错误
bug,环境变量缺失,未设置RANK变量导致分布式训练失败
bug,设备切换冲突,pre-forward阶段设备变更引发autograd异常
bug,安全策略限制,VPN导致微信链接无法正常访问
bug,环境配置与依赖问题,安装或运行时的CUDA扩展缺失、Python版本不兼容、Docker环境配置错误、依赖库版本冲突
bug,代码实现逻辑错误,梯度累积功能未按预期工作、张量形状/设备/数据类型未正确更新、多继承顺序错误、初始化上下文处理错误、模块参数覆盖问题
bug,构建与编译问题,CUDA扩展构建失败、缺少头文件（如cub.h）、gcc版本过低导致编译错误、CUDA扩展未正确构建
bug,数据加载与处理错误,GradAccumDataloader忽略最后一个迭代步骤、数据加载器无法正确处理数据、数据格式不匹配
bug,模型与模块设计缺陷,ColoTensor属性异常、Module类参数方法冲突、测试模型逻辑错误、模型动物园中无效模型未移除
bug,资源管理与内存问题,张量释放后无法参与计算和通信、内存分配后属性未重置
bug,文档与示例代码问题,示例代码测试不完全导致数据加载错误、论文链接失效、下载链接错误、代码注释或文档拼写错误
bug,工具与CLI问题,CLI工具出现段错误（segmentation fault）、代码格式化工具功能异常、构建发布流程错误
bug,拼写错误与代码规范,常量拼写错误导致逻辑异常、无用import语句、代码格式不符合规范
bug,测试覆盖不足,单元测试缺失导致初始化上下文错误、测试参数未更新、多进程测试未覆盖预训练加载场景
bug,错误消息不清晰或不详细,用户在使用时遇到困难，无法明确问题所在
bug,模块初始化错误,初始化过程中出现错误，如参数初始化不正确或上下文配置错误
bug,参数或数据处理不一致,加载检查点（ckpt）时出错，模型权重分配错误
bug,测试用例缺失或错误,单元测试失败，需要热修复或修改测试代码
bug,版本或环境兼容性问题,与特定版本（如PyTorch 1.7）不兼容，导致API调用失败或异常
bug,内存管理错误,内存泄漏或未正确使用内存管理器（如GeminiMemoryManager）
bug,配置选项失效,全局选项（如`no_cuda_ext`）无法正常工作，需重新设计文档或改用环境变量
bug,代码逻辑错误,功能无法正常运行（如CLI启动失败、线性测试失败、pipeline构建错误）
bug,依赖项或安装问题,CUDA扩展安装失败，或安装参数（如`--no_cuda_ext`）引发错误
bug,代码合并或提交错误,错误合并未完成代码（WIP PR），需撤销操作或修复遗漏的提交
bug,性能问题,程序性能异常或不稳定（如吞吐量指标错误、训练准确率下降）
bug,资源分配或策略错误,张量放置策略未更新、未正确设置`pin_memory`或断言缺失
bug,设计或结构问题,目录结构错误（如Gemini归属错误）、ckpt适配性不符或模块功能冲突
bug,日志或类型提示不完善,日志记录控制不完整或类型提示错误导致调试困难
bug,多进程通信问题,多节点/多任务启动时进程通信失败（如地址冲突或`group=None`传递错误）
bug,PyTorch版本兼容性问题,与特定PyTorch版本（如1.8/1.9）API不兼容导致单元测试失败或功能异常
bug,模块内部逻辑错误,梯度计算不准确、参数初始化错误、未正确处理非分片模块等导致功能异常
bug,内存管理不当,内存泄漏、GPU内存使用异常、激活检查点失败等内存相关问题
bug,环境配置错误,Docker权限问题、CI/CD工作流配置错误、依赖包缺失等环境相关故障
bug,API变动未适配,因PyTorch或框架内部API更新导致调用失败（如`ctx.save_for_backward`无效）
bug,参数/设备分配错误,未正确分配设备ID、参数分片错误、未恢复分片参数等导致的运行时错误
bug,梯度状态处理缺陷,梯度包含inf/nan、梯度状态未正确分配给非叶子节点等梯度相关问题
bug,测试用例适配不足,单元测试因函数返回值变化（如`get_current_device`）、测试目录命名问题等失败
bug,依赖管理缺陷,requirements-test.txt未包含必要包、安装需求被意外移除等依赖相关问题
bug,通信机制异常,分布式训练中检查点测试失败、`_rank_not_in_group`未暴露等通信问题
bug,混合计算内核缺陷,混合梯度类型（如fp16/fp32）处理错误导致参数更新异常
bug,模块初始化错误,初始化上下文时出现问题，导致程序无法启动或运行异常
bug,编码规范不符合,代码和注释格式不规范，导致代码显示异常或无法通过格式检查
bug,功能实现错误,activation offload未能正确保存CUDA内存，CPU Adam更新错误，优化器参数未分片等核心功能异常
bug,参数配置缺失,缺少必要的配置参数（如采样时间、并行输入标志等）导致模块运行失败
bug,内存管理错误,梯度存储位置错误导致GPU内存占用过高，内存统计信息不准确
bug,模块兼容性问题,与PyTorch原生模块（如nn.Linear）行为不一致导致KeyError等异常
bug,数据追踪不完整,内存统计功能未包含优化器数据，导致内存使用情况追踪不准确
bug,错误处理不足,缺乏预防性错误消息（如头数不可分/批处理大小异常），导致调试困难
bug,张量形状处理缺陷,无法处理不可分割的批处理大小，触发RuntimeError或程序崩溃
bug,路径引用错误,模块导入路径变更导致GPU运行时出现异常
bug,冗余代码存在,测试代码中存在误导性冗余实现，影响代码可维护性
bug,混合精度处理不当,attention_mask数据类型转换错误导致混合精度问题
bug,日志模块设计缺陷,模块命名混乱导致API不清晰
bug,文档格式错误,HTML文档格式异常导致展示效果不符合预期
bug,空内容提交,用户意外提交无具体内容的空issue报告
bug,核心算法不一致,QKV实现方案与经典transformer不对齐导致结果错误
bug,动态布局限制,grad数据移动机制导致难以实现CPUGPU动态布局
bug,状态管理错误,梯度状态设置不正确导致参数更新异常
bug,初始化错误,初始化设备错误或未正确初始化上下文环境，导致运行时无法删除torch的payload或创建错误的shard
bug,依赖安装问题,安装时无法正常运行或开发环境设置错误（如代理访问失败、依赖冲突）
bug,参数处理错误,参数命名不明确导致误解，shard参数错误，或attention mask形状/传递异常
bug,版本兼容性问题,代码更新后未适应新版本（如ZeRO升级）导致benchmark错误或测试失败
bug,文档不一致,文档与实际发布版本不匹配、拼写错误或图表尺寸问题导致显示异常
bug,测试框架问题,单元测试格式无效、无法运行或测试逻辑错误（如pytest兼容性问题）
bug,通信处理异常,未正确处理集体通信导致Profiler错误（如ZeroDivisionError）
bug,内存管理缺陷,CUDA内存使用差异、无法存储操作系统或梯度未检查导致运行错误
bug,工作流程错误,发布工作流程被跳过或GitHub Action不可用需手动干预
bug,代码逻辑错误,函数多次运行、路由模块引入噪音或旧代码错误实现导致功能异常
bug,资源链接问题,徽章/图表链接损坏或元数据缺失导致显示异常
bug,代码格式问题,文件格式无效或代码规范不符合要求（如许可证元数据缺失）
bug,设备放置错误,内存监控线程因设备放置错误导致数据偏差
bug,代码格式错误,格式问题导致代码无法正常运行，文件格式设置错误
bug,模块初始化错误,参数无法正确初始化在CPU，参数数量计算错误
bug,导入依赖缺失,在no-tensorboard环境下出现导入错误，apex模块导入失败
bug,参数处理错误,梯度形状计算错误，整数张量被误转换为fp16导致梯度异常
bug,测试用例不完善,单元测试未禁用dropout或分片模型未启用，测试用例存在缺陷
bug,设备间复制错误,bucketized tensor在CPU和GPU之间复制失败，张量必须在指定设备上
bug,循环导入问题,模块重构导致循环import依赖引发异常
bug,文档/示例配置错误,示例链接缺失导致用户无法查看，启动命令不一致造成困惑
bug,许可证信息不完善,许可证未完善需要更新补充相关信息
bug,功能兼容性问题,ZeRO与梯度累积机制不兼容，SyncBN缺少fp16兼容性支持
bug,内核缺失或错误,尝试在CPU上运行Adam优化内核，CUDA内核缺失导致性能问题
bug,接口设计异常,ShardedOptimv2接口运行异常，缺少必要参数传递导致功能失效
bug,并行处理配置错误,多个进程尝试创建目录导致崩溃或冲突
bug,代码逻辑错误,函数返回错误的张量或缺少关键功能（如Masking）
bug,依赖项或环境配置问题,缺少必要的包或Python版本不兼容导致异常
bug,API变更或兼容性问题,因PyTorch版本更新或模块路径变更导致的导入错误或功能失效
bug,资源管理问题,端口占用、僵尸进程未清理或设备张量未正确放置
bug,CI/CD配置错误,GitHub Action未触发或执行失败
bug,自动化工具缺陷,格式错误处理混乱或PR机器人异常
bug,模型定义或配置错误,层定义缺失、参数同步问题或收敛性异常
bug,通信协议实现错误,缓冲区数据类型错误、Allreduce未应用或P2P通信阻塞
bug,文档错误或过时,链接指向错误仓库或内容未更新
question,文档维护需求,README或changelog需要更新说明
bug,性能问题,jit fusion性能下降或训练过程挂起
bug,异常处理缺失,未捕获异常导致KeyError或程序中断
bug,安装或部署问题,pip安装失败或git clone命令错误
bug,测试用例缺陷,模型测试（如GPT2 XL）无法正常运行
bug,并行计算实现错误,张量并行参数处理不当导致Allreduce操作或梯度裁剪错误
bug,代码冗余,同一函数在setup.py中重复定义导致冗余
bug,安装配置错误,setup.py中使用反引号导致pip安装卸载不一致
bug,条件判断缺失,在没有张量并行参数时误用Allreduce操作
bug,文档维护疏忽,代码修改未同步更新文档导致不一致性
bug,语法规范问题,gradient clipping功能对张量并行节点的处理逻辑错误
bug,依赖项管理缺陷,未正确使用pyprof依赖项导致功能异常
bug,版本兼容性问题,LAMB优化器与张量并行计算的范式不兼容
question,框架功能实现方式不明确,询问混合并行插件显存占用高于同类框架的原因
question,硬件兼容性说明不足,询问框架在MacOS/Rocm平台的可运行性
question,分布式策略实现细节缺失,咨询GeminiDDP是否包含DP/PP/TP策略
question,训练机制理解困难,询问双重损失函数的初始化和训练方法
question,模型加载方式不清晰,咨询LoRA模型在训练阶段的复用方法
question,组件设计原理不明确,质疑Critic类的状态-动作依赖设计
question,版本兼容性说明缺失,询问旧版ZeRO的使用方式和弃用计划
question,资源配置指导不足,咨询PPO模型运行的硬件选型建议
question,功能支持范围不明确,询问框架是否支持ROCM平台
question,训练参数配置指导不足,反馈PPO训练参数设置导致收敛困难
question,算法实现细节缺失,询问SFT微调功能的代码实现状态
question,基准对比信息不全,要求公开框架与DeepSpeed的性能对比配置
question,文档完整性不足,请求补充数据集准备和下载指南
question,代码逻辑存在疑问,质疑reward_model.py截断操作的正确性
question,功能设计原理不明确,咨询GRPO与LoRA在训练中的适用性
question,模型部署指导不足,咨询DeepSeek 671B模型加载测试方法
requirement,功能支持不足,请求添加新功能（如pipeline并行性、分布式checkpointio、异步IO支持等）
requirement,分布式训练需求,要求支持分布式环境下的功能（如GRPO训练、ProcessGroupMesh多节点支持）
requirement,模型/算法扩展需求,需要适配新模型（如Llama405B、MoE模型）或集成新算法（如RL风格生成）
requirement,文档/示例缺失,请求提供文档说明或示例代码（如LoRA SFT示例、自定义模型训练指南）
requirement,兼容性问题,要求适配新版本库（如transformers）或硬件支持（如NPU）
requirement,性能优化,提出优化需求（如load-pin overlap、非阻塞pin加载）
question,功能使用疑问,询问现有功能是否支持特定场景（如FP8在MoE中的应用、expert parallel实现）
question,配置问题,关于环境配置或初始化的问题（如多节点分布式环境初始化失败）
requirement,流程规范化需求,要求更新PR流程/文档规范（如添加自查清单、标准步骤）
requirement,调试支持不足,请求添加调试功能（如checkpointio的debug日志记录）
requirement,API扩展需求,要求为插件提供异步API（如异步checkpoint API）
bug,功能缺陷,报告现有功能异常（如allgather操作不支持特定数据类型）
requirement,工具链更新,提出更新CI/CD工具链（如pre-commit版本升级）
requirement,异步IO支持缺失,当前的同步IO机制导致性能瓶颈或无法满足异步操作需求
requirement,模块化运行支持不足,无法以模块方式运行框架，需要独立应用形式
requirement,新模型/算法支持未实现,运行特定模型（如Gemma2、llama）时出现NotImplementedError
requirement,梯度信息获取功能缺失,无法获取训练过程中的梯度范数信息
requirement,代码维护规范不完善,存在冗余函数导致维护困难，需要清理和优化
requirement,分布式训练支持不完整,缺少Tensor Parallelism/Zerobubble等特定训练模式支持
requirement,第三方工具集成需求,需要集成新组件（如Liger-Kernel）来提升训练性能
requirement,文档内容过时或不完整,README/贡献指南/训练文档需要更新或补充说明
requirement,自动化流程缺失,PR审查/代码贡献流程缺少标准化检查项
requirement,跨平台兼容性不足,Windows用户无法使用部分框架功能
requirement,新型训练方法支持需求,需要支持DPO训练、MCTS算法等新兴方法
bug,第三方工具兼容性问题,Triton缓存问题导致兼容性测试失败
bug,代码规范不符合要求,存在未遵循命名规范或格式要求的代码
requirement,混合专家系统优化需求,需要实现影子专家功能或MOE混合插件
requirement,性能优化需求,序列并行性能不足需要优化
requirement,内存管理改进需求,多GPU训练时内存使用率过高需要优化
requirement,代码重构需求,需要更新旧版API导入或进行架构调整
requirement,功能未实现,用户需要框架支持特定模型（如qwen）或功能（如FP8通信、MoE混合并行）
requirement,文档示例不足,官方文档缺乏多模型训练、启动参数配置等关键场景的说明
requirement,测试用例未覆盖新功能,引入新数据类型（如FP8）导致现有测试用例失效
requirement,代码存在冗余或低效实现,使用np.array导致不必要数据副本或未优化通信操作符
requirement,缺乏配置参数或选项,模型训练时无法选择checkpoint保存频率或混合并行策略
requirement,版本兼容性问题,依赖库版本更新（如pre-commit/black）导致格式检查失败
requirement,日志系统不完善,插件未使用推荐的dist logger影响调试和可追溯性
requirement,异步通信支持缺失,当前框架不支持FP8异步通信影响训练性能
requirement,分布式训练支持不足,缺乏混合并行插件与Shardformer的深度整合方案
requirement,性能优化需求,需添加FP8 benchmark或优化all2all等通信算子
requirement,API设计缺陷,自定义操作符无法跳过节点生成策略导致处理失败
