大类,问题的根因,问题的症状描述
bug,API使用错误,函数调用时参数缺失或错误，导致初始化失败或无法加载模型
bug,数据问题,张量形状不匹配、权重转换错误、数据无法从元张量复制
bug,兼容性问题,操作系统或环境（如Windows/WSL/Docker）适配问题导致运行失败
bug,量化问题,AWQ/Int8量化功能错误导致模型性能下降或构建失败
bug,拼写错误,代码中的拼写错误引发功能异常
bug,并发问题,高并发场景下系统挂起或资源争用
bug,弃用警告,使用已弃用的组件（如layernorm plugin）导致兼容性警告
bug,符号未定义,编译时未定义的符号导致程序无法运行
bug,网络问题,依赖下载失败（如GitHub连接超时）导致构建中断
bug,环境配置错误,构建脚本运行时出现CUDA runtime error
bug,参数配置错误,参数数值错误导致数值处理异常
bug,代码拼写错误,模块或文件中存在拼写错误导致功能异常
bug,依赖版本冲突,因Transformers版本冲突导致构建失败
bug,资源不足,内存不足导致引擎构建失败
bug,功能逻辑错误,`load_by_shard`选项矛盾导致内存占用过大
bug,模型兼容性问题,特定模型(如Deepseek/Yi6Bchat)支持异常导致输出错误
bug,参数验证失败,头部大小(headsize)/输入行列字节数不符合要求触发断言错误
bug,性能回归问题,版本升级后出现吞吐量下降或速度异常波动
bug,构建过程错误,生成二进制文件失败或出现链接错误
bug,初始化问题,使用未初始化的对象导致'NoneType'错误
bug,量化配置错误,INT8量化范围设置不当导致精度损失或构建失败
bug,功能实现缺陷,smoothquant功能导致性能下降3~10%
bug,模块依赖缺失,缺少关键模块(如get_engine_version)导致运行时错误
bug,容器配置问题,GPU容器进程启动失败或环境配置错误
bug,数据加载异常,模型权重加载格式不兼容导致KeyError
bug,内存管理问题,长输入模型构建时出现内存溢出错误
bug,计算精度问题,Conv2D计算结果存在精度差异
bug,功能不支持,缺少对偏置项/INT量化的支持导致功能受限
bug,多GPU协同问题,多GPU环境下出现系统挂起或维度错误
bug,预热配置缺失,未进行预热导致实际运行速度提升不足
bug,资源需求异常,显存占用显著高于同类实现(如whisper需17GB显存)
bug,环境配置错误,构建过程中出现CUDA相关路径不存在、库文件缺失或版本不匹配导致的错误
bug,依赖缺失,缺少必要的软件模块或库文件(如tensorrt_llm.models.llama.utils模块未找到)
bug,资源不足,显存不足导致编译过程中出现Out of Memory错误
bug,数据类型不匹配,加载权重时出现数据类型不一致或形状不匹配错误
bug,代码逻辑错误,程序出现段错误、参数顺序错误或条件判断错误导致的断言失败
bug,硬件兼容性问题,在特定硬件平台(如Mac/T4/ORIN)上构建的镜像或程序无法运行
bug,文档错误,文档中的示例链接失效或说明不准确
bug,内存管理问题,运行时出现segmentation fault或symbol lookup error等内存访问错误
bug,并行处理错误,使用多GPU并行时出现结果异常或程序卡死
bug,接口调用错误,调用API时出现AttributeError或TypeError等接口异常
bug,性能问题,量化处理时速度异常缓慢或延迟过高
bug,服务部署错误,HTTP请求处理卡住或批量请求失败
bug,容器构建问题,Docker镜像构建失败或环境配置错误
bug,编译器兼容性问题,NVCC编译器与主机编译器版本不兼容导致警告
bug,命令路径错误,环境变量配置错误导致无法找到可执行命令
bug,张量形状不匹配,转换模型格式时触发AssertionError/初始化错误/构建失败
bug,参数配置错误,性能出现明显差异/内存分配失败/模型构建失败
bug,依赖版本不兼容,pynvml版本过低报错/python3.9脚本运行异常
bug,序列化问题,InferenceRequest对象无法序列化导致TypeError
bug,文件路径错误,无法加载plan文件/找不到rouge.py模块
bug,内存管理问题,GPU内存未释放/内存消耗过大导致崩溃
bug,CUDA运行时错误,cublasLtMatmul执行失败/CUDA图导致性能下降
bug,逻辑实现缺陷,流式响应支持缺失/参数传递错误/缓存管理器空指针
bug,硬件兼容性问题,V100显卡运行AWQ/GPTQ报错/A800设备异常
bug,版本升级缺陷,主分支性能低于旧版本/23.11镜像导致benchmark失效
bug,类型检查错误,传入NoneType导致类型错误/头部大小不满足整除条件
bug,构建系统问题,Docker镜像构建失败/整数溢出错误/MPI进程性能下降
bug,功能支持缺失,Triton端点不支持解耦事务策略/streaming模式数据丢失
bug,输出结果异常,输出结果与HuggingFace不一致/响应长度逐渐缩短
bug,配置加载失败,无法自动完成triton配置/优化参数无法识别
bug,部署环境问题,Kubernetes部署出现bus error/共享库无法加载
bug,参数配置错误,构建错误，提示需要配置特定参数（如DOCKER_BUILD_ARGS）
bug,依赖库或环境不兼容,CUDA环境安装错误（如libnccl2安装失败）
bug,代码逻辑缺陷,运行时属性错误（如AttributeError: 'NoneType' object has no attribute 'trt_tensor'）
bug,内存资源不足,内存不足导致OOM错误（如量化时内存不足）
bug,版本不匹配,构建引擎失败或功能异常（如版本更新导致脚本路径变更）
bug,符号冲突或代码错误,编译错误（如模糊符号错误、文件缺失、断言失败）
bug,脚本或文档错误,脚本运行失败或文档描述不准确（如GPU数量设置错误）
bug,递归深度限制,最大递归深度超出导致报错
bug,路径或变量错误,环境变量未正确设置导致链接错误
bug,模型兼容性问题,模型转换失败或输出不一致（如HuggingFace模型对齐问题）
bug,回调函数未触发,流式输出回调未按预期调用
bug,量化参数错误,AWQ权重量化参数未生效或标定失败
bug,多用户并发问题,多用户生成文本时出现core dump
bug,多设备支持问题,tensor_parallel功能测试失败（如chatglm26B模型）
bug,性能优化未生效,性能基准测试未显示预期提升（如multi_block_mode选项）
bug,容器配置问题,Docker构建或运行失败（如CUDA版本不兼容）
bug,数据预处理错误,文本处理异常（如表情符号导致断言失败）
bug,模型结构限制,模型构建时参数不匹配（如嵌入大小无法被TP整除）
bug,API调用错误,属性设置未生效（如is_streaming未触发回调）
bug,文件路径变更,脚本路径更新导致功能异常（如summarize.py被替换）
bug,资源限制,模型构建时RAM不足
bug,环境配置问题,构建过程中出现错误，可能由于CUDA版本不匹配或硬件限制导致
bug,依赖版本冲突,安装时出现protobuf和transformers版本不一致的错误
bug,参数配置错误,推理过程中因maxTokensInPagedKvCache设置不足导致错误或张量维度不匹配
bug,文件或资源缺失,构建过程中因缺少文件或插件（如gpt_attention_plugin）导致失败
bug,内存不足,GPU内存不足导致构建失败或内存泄漏
bug,代码逻辑错误,名称未定义（如layers_range）、属性未正确复制（如streaming属性）或缓存无效
bug,配置错误,文件名不符合规范导致部署失败，或配置文件设置错误导致解析失败
bug,内核缺失,运行时出现“no kernel image is available”错误
bug,并行处理问题,多GPU环境下张量处理错误或NCCL版本不兼容
bug,流式处理问题,因属性未正确复制导致无法流式处理
bug,量化处理异常,构建SmoothQuant引擎失败或量化结果异常
bug,生成过程错误,log_probs数组大小错误导致写入异常，或生成无意义结果
bug,进程管理问题,运行脚本时产生僵尸进程
bug,功能支持问题,stop_words无效或infilling功能未支持
bug,性能问题,使用tensor parallelism时性能下降
bug,驱动或版本兼容问题,Jetson设备因驱动过旧运行失败，或Triton后端识别失败
bug,输入输出处理错误,模型转换后输出不一致，或数据类型格式不支持
bug,插件兼容性问题,使用gpt_attention_plugin时出现段错误
bug,环境配置错误,构建失败，Docker镜像构建失败，编译错误，缺少环境变量传递，系统环境不兼容
bug,接口不一致,Python与C++运行时接口不一致，函数参数未正确处理，参数配置错误
bug,内存管理不足,内存不足导致构建或运行时终止，OOM错误，显存不足
bug,代码逻辑错误,变量名错误，未初始化权重，函数未正确处理维度，逻辑错误导致计数异常
bug,第三方库或依赖问题,NCCL通信错误，MPI初始化冲突，无法找到插件，共享对象文件缺失
bug,量化配置错误,量化误差大，量化指令使用错误，量化参数配置不当
bug,并行处理错误,多GPU并行效率低，MPI world size不匹配，批处理大小不一致
bug,权重或参数处理错误,权重保存不完整，相同值不同数量的权重，参数传递错误
bug,构建配置错误,构建过程中文件路径错误，依赖缺失，分支切换导致编译失败
bug,功能实现缺陷,生成结果缺少结束符，延迟异常增加，生成分数为0，推理结果不匹配
bug,张量形状或尺寸不匹配,在模型转换或构建过程中出现数组reshape错误、尺寸不匹配AssertionError、数组分割不均衡等导致进程中断
bug,内存/显存不足或溢出,构建/推理时出现OOM错误、插件缓存超限、内存泄漏导致batch处理时显存持续增长
bug,环境配置或依赖问题,GPU架构不支持(V100/T4)、驱动版本过低、缺少必要库依赖、docker构建权限错误导致进程失败
bug,功能实现缺陷,In-flight batching性能未提升、FMHA功能架构不支持、bfloat16解码器段错误、trtexec分析工具core dump
bug,模型转换错误,权重格式不支持(.pt)、smoothquant转换失败、HF格式转换错误导致引擎构建失败
bug,文件路径或格式错误,引擎文件路径配置错误、数据集缺失导致benchmark运行失败、模型权重未绑定引发构建错误
bug,代码逻辑错误,进程hang导致无输出、命名不匹配引发运行时错误、命令行参数配置错误导致构建失败
bug,性能异常,吞吐量下降、无法达到宣称性能指标、GPU内存占用异常高
bug,输入输出异常,推理结果与HF模型不一致、输出token后持续生成、特殊字符导致服务冻结
bug,编译构建错误,CMake生成失败、链接缺少ompi_mpi_comm_world引用、构建脚本返回非零退出状态
bug,硬件兼容性问题,特定GPU型号(H100SXM/p4de)出现架构不兼容或性能异常
bug,内存管理问题,GPU内存耗尽（OOM）、内存泄漏、GPU内存使用异常增加、内存溢出
bug,依赖或环境配置问题,安装失败、依赖冲突、无法导入模块、Docker构建问题、环境配置错误
bug,脚本或代码语法错误,语法错误导致程序无法运行、文件路径错误、链接错误、编译失败
bug,量化配置问题,FP8/INT8量化错误、权重量化不准确、量化脚本处理不当导致模型输出错误
bug,模型构建与加载问题,模型构建失败、引擎文件无法加载、缺少配置文件、权重矩阵形状不兼容
bug,API或参数使用错误,输入类型不匹配、静态维度不匹配、参数设置不当导致API错误、`max_output_len`参数设置错误
bug,硬件兼容性问题,Turing架构GPU不支持量化、CUDA兼容性导致无法跨设备使用引擎文件
bug,并发或线程安全问题,重复调用函数导致内存耗尽、并发调用不安全
bug,生成控制逻辑错误,生成接口无法在EOS处停止、持续生成结束符、`stop_words`未生效
bug,性能问题,推理速度慢于预期、批处理大小限制导致性能下降
bug,文件或资源缺失,缺少Makefile、配置文件缺失、共享库文件缺失
bug,功能实现错误,cross-attention结果错误、参数设置未生效、内存释放不完全
bug,模型转换配置错误,模型转换生成的结果与原始模型的结果不一致
bug,资源不足,内存不足导致OOM错误
bug,硬件兼容性问题,启用特定操作时出现断言失败或不支持的错误
bug,代码逻辑错误,指定参数后导致未初始化崩溃
bug,依赖项缺失或版本不兼容,构建过程中出现编译错误或找不到依赖库
bug,环境配置错误,CUDA初始化失败或GPU功能不可用
bug,参数配置错误,未指定必要插件参数导致断言失败
bug,用户操作错误,命令使用错误导致构建失败
bug,输入验证错误,输入形状不符合引擎支持范围导致ValueError
bug,平台兼容性问题,缺少特定平台库文件导致链接错误
bug,生成算法问题,生成输出缺乏多样性
bug,功能未实现,不支持特定模型或量化方法导致运行失败
bug,性能优化不足,1st token延迟不符合预期或性能衰减
bug,文件路径错误,无法加载模型文件或引擎文件
bug,编译配置错误,编译时ABI版本不匹配导致链接错误
bug,内存分配问题,构建过程中内存不足导致程序终止
bug,软件环境不兼容,CUDA版本不兼容导致"no kernel image"错误
bug,内存管理问题,GPU内存紧张导致性能下降或CUDA内存溢出错误
bug,内存管理问题,内存泄漏和最终内存溢出
bug,代码实现错误,函数缺少返回语句导致行为不符合预期
bug,代码实现错误,模型输出调整导致错误发生
bug,输入输出处理错误,生成的文本未能正确结束
bug,依赖缺失或版本不兼容,缺少'int64'属性导致错误
bug,网络或资源下载问题,无法正常下载shards导致进度卡住
bug,参数配置错误,SamplingConfig参数设置不当导致推理结果重复
bug,环境配置问题,vscode配置导致vocode无法启动
bug,代码拼写错误,潜在的拼写错误引发bug
bug,文档内容错误,文档中存在拼写错误（如"qunatization"）
bug,构建系统问题,执行构建命令时无法完成docker镜像构建
bug,功能未实现,benchmark代码不支持pipeline parallel
bug,模型量化错误,无法将bf16权重转换为int8
bug,系统资源不足,磁盘空间不足导致操作失败
bug,并行配置错误,引擎和运行时世界大小不匹配
bug,插件缺失,无法找到Gemmtensorrt_llm插件
bug,路径配置错误,构建过程中出现路径错误
bug,输入长度限制,设置的max_input_len与实际输入不符导致输出异常
bug,硬件资源限制,批量大小超过8时优化模型不支持
bug,编码处理错误,亚洲语言解码时出现乱码
bug,语法或格式错误,链接器脚本文件格式不符合规范
bug,版本兼容性问题,不支持较低版本的CUDA驱动
bug,内存分配异常,GPU内存足够但出现std::bad_alloc错误
bug,依赖库缺失,缺少libnvparsers库导致构建失败
bug,并行通信问题,nccl通信失败导致运行异常
bug,权重处理错误,权重无法被tensor_parallel_size整除
bug,编译过程阻塞,编译过程中卡在98%无法完成
bug,输入类型错误,输入类型不一致导致构建报错
bug,模型兼容性问题,代码示例与模型不兼容导致运行错误
bug,文件缺失,缺少Makefile文件导致gmake错误
bug,安装步骤错误,未完全遵循构建步骤导致量化失败
bug,停用词处理异常,停用词列表传递异常导致输出提前结束
bug,插件版本依赖,TrtGptModelInflightBatching需要特定版本插件
bug,语法错误,编译时出现语法错误导致构建失败
bug,头文件缺失,缺少NvInferVersion.h文件引发CMake错误
bug,内存消耗过高,模型内存占用导致CUDA内存不足
bug,拼写错误,代码中"requests"拼写错误引发问题
bug,插件不支持操作,PLUGIN_V2操作不受支持导致引擎构建失败
bug,输入数据配置错误,输入数据或模型配置错误导致输出异常
bug,环境配置错误,安装时出现命令或路径找不到的错误
bug,构建配置错误,构建Docker文件或编译过程中出现错误
bug,环境变量覆盖,Forward Compatibility模式不可用
bug,CUDA版本不兼容,因CUDA版本变更导致的编译错误
bug,代码逻辑错误,运行benchmark程序或模型时失败
bug,参数配置错误,批量推理失败或模型输出异常
bug,软件集成配置错误,与Tritonserver集成时出现运行错误
bug,权重量化配置错误,模型输出结果异常
bug,头文件路径错误,更改头文件路径后构建失败
bug,依赖版本不可用,找不到符合要求的软件版本
bug,依赖安装缺失,导入依赖时出现错误
bug,ABI链接问题,构建时出现C++ 11 ABI链接错误
bug,文档链接错误,文档中的链接跳转失效
bug,GPU内存配置不足,构建过程中因内存不足失败
bug,构建语法错误,构建命令语法错误导致失败
bug,驱动版本不兼容,因NVIDIA驱动问题导致运行失败
bug,版本同步滞后,功能不同步导致的兼容性问题
bug,内存管理缺陷,程序运行时出现内存泄漏
大类,问题的根因,问题的症状描述
question,硬件兼容性,确认特定硬件（如NVIDIA Jetson Orin Nano）和软件环境（如TensorRT）是否支持特定模型或功能
question,功能支持确认,询问框架是否支持特定模型（如Mixtral8x7B、Mistral-7B）、量化方法（如AWQ、LoRA、int4）或操作（如异步通信）
question,参数配置疑问,询问参数（如`enable_context_fmha`、`use_paged_context_fmha`）的作用、设置方式及其对性能的影响
question,多GPU配置,咨询如何在多GPU环境下进行推理或配置参数（如AllReduce、Send/Recv）
question,模型转换流程,询问如何将HuggingFace模型转换为TensorRT-LLM格式、处理剪枝模型或合并多文件（如quantized_npz）
question,API使用疑问,询问如何调用特定API（如Executor构造函数、C++执行器API）或使用功能（如MultiShot allreduce）
question,量化方法支持,涉及量化实现细节（如权重布局、scale设置）或量化工具（如生成modelopt_quant_ckpt_path）
question,性能优化疑问,比较实现差异（如f16xs8混合GEMM与Cutlass）或询问性能参数（如构建阶段的优化选项）
question,版本兼容性,确认CUDA与TensorRT-LLM版本的兼容性或特定版本（如TRT-LLM 0.9.0）的功能支持
question,文档缺失,请求教程或文档说明（如部署示例、参数含义、ModelRunner与ModelRunnerCpp区别）
question,数据处理疑问,询问预处理步骤（如int4权重布局）、数据集替换需求或token生成方法
question,功能设计理解,询问框架设计原理（如PDL机制、Batch Scheduling Policies）或指标定义（如tokens_per_sec）
question,模型结构适配,涉及修改模型结构（如添加qknorm操作、支持非Llama模型）或合并输入（如prompt_table与input_ids）
requirement,功能需求,明确请求支持新功能（如C++ inflight batching、草稿模型推理）
question,功能支持不明确,用户无法确认框架对特定量化类型（如int16）的支持情况
question,文档缺失,用户希望获取特定功能（如medusa解码、prefix caching）的详细文档或参数解释
question,版本兼容性问题,用户遇到因依赖版本不匹配导致的文件缺失或运行错误
question,参数配置问题,用户对如何设置特定参数（如enableBlockReuse、采样参数）存在困惑
question,功能实现细节不明确,用户询问框架内部实现细节（如activation size与workspace关系、模块合并原因）
bug,框架多线程支持缺陷,在tp>1情况下运行模型时出现内存溢出或功能异常
question,组件关系不清晰,用户对框架内部组件（如GptManager与GptSession）的关系及调用逻辑存在疑问
question,概念定义模糊,用户对框架中的术语（如Context Phase、Generation Phase）缺乏标准定义
question,依赖管理问题,用户因不熟悉Docker或环境配置导致安装、构建失败
question,性能评估方法不明,用户对性能指标（如Throughput计算、内存占用测试）的方法存在疑问
question,模型部署兼容性,用户不确定模型在不同GPU型号或跨设备移植的可行性
question,量化选项理解不足,用户对量化类型（如int8、int4_gptq）的选择依据和区别存在困惑
question,接口调用方法缺失,用户无法直接调用特定C++函数或获取前向传播的logits输出
bug,框架设计限制,用户因框架设计限制（如topk大小固定为1024）无法满足需求
question,输出结果异常,用户因参数设置问题（如eos标记缺失）导致生成结果不符合预期
question,构建流程指导不足,用户缺乏构建benchmark或非Docker环境的指导文档
question,版本更新信息不透明,用户对框架集成的第三方库（如FlashAttention）版本信息存在疑问
requirement,新增模型支持需求,用户希望框架新增对Phi-4-MM、DeepseekV3、AWQ模型等特定模型的支持
requirement,功能扩展需求,用户提出需要新增ZMQ socket IPC通信支持、压力测试功能、FP8支持、NVRTC编译支持等新功能模块
requirement,性能优化需求,用户建议改进Hopper XQA模块性能、优化广播新请求方法、加速Llama测试套件等性能相关需求
requirement,基础设施改进需求,需要迁移到Conan包管理、更新Docker镜像、升级cmake版本等基础设施改造
requirement,文档维护需求,用户要求补充缺失的"Serving"文档、优化现有文档表述、添加贡献者指南等文档改进
requirement,接口完善需求,用户建议增加JSON Schema验证、完善Attention后端接口、支持后端类型过滤等接口改进
requirement,工具链增强需求,需要支持自动部署、优化缓存管理、增加日志调试工具等开发工具改进
requirement,测试优化需求,用户提出延长测试超时阈值、改进测试精度、迁移DeepSeek测试等测试相关改进
bug,模型转换兼容性问题,Qwen2.5-vl模型转换出现精度问题，需重写乘法操作导致性能下降
bug,功能实现缺陷,生成结果维度不匹配导致输出错误，LoRA模块测试失败需要修复
bug,量化支持问题,EAGLE模型量化时smoothquant参数报错，use_weight_only参数导致查询异常
question,使用指导需求,用户咨询Attention后端接口实现细节，请求DSR1最佳性能实践指导
requirement,维护性改进需求,需要更新内部cutlass版本号、优化UserBuffers分配方式等代码维护需求
requirement,硬件支持不足,需要添加对特定硬件（如Hopper、Blackwell）的FP8 MLA支持
requirement,测试覆盖不足,需要修改测试脚本以适配新功能或场景
requirement,代码管理需求,需整理/合并提交记录以优化项目结构
requirement,文档不完善,需增加API示例、模型支持说明或更新主README
requirement,功能缺失,需新增API接口（如LogitsProcessor、DecoderState重构）或模块支持（如PeftCacheManager、StreamGenerationTask）
requirement,基础设施自动化需求,需添加分叉同步、机器人帮助等自动化流程
requirement,性能优化需求,需减少GPU内存占用（如MoE模块拆分）、降低CPU阻塞（pinned H2D）或优化延迟（DeepSeek）
requirement,依赖版本问题,需升级transformers等第三方库版本以满足功能要求
requirement,调试工具不足,需添加Blossom调试钩子或RoPE变体支持
bug,同步机制缺陷,同步请求完成点与移除MPI广播导致性能下降
bug,并发控制问题,基础设施并发操作时出现冲突
question,功能支持状态不明确,用户询问模型支持情况（如modernBERT、Gemmas 3）或API兼容性规划
requirement,代码结构优化,需重构测试脚本（test_disaggregated.py）或DecoderState属性
requirement,依赖管理优化,需移除MPI依赖或更新libcutlass库
requirement,格式规范问题,需修复文档中未正确使用alert formatting的格式
requirement,版本管理需求,需更新库版本号或维护ABI边界稳定性
requirement,社区互动需求,需组织在线会议收集社区反馈
requirement,功能增强需求,用户希望添加新的功能或特性（如Variable-Beam-Width-Search、FP4量化支持、LoRA支持等）
requirement,持续集成流程优化需求,用户提出改进CI测试流程（如更新allowlist、优化重复检出操作、添加本地运行说明等）
requirement,文档维护需求,用户请求更新或补充文档内容（如README.md、支持矩阵、API稳定性说明等）
requirement,代码结构优化需求,用户希望重构代码以提高可维护性（如简化前向方法、重构disaggregated serving脚本等）
requirement,性能优化需求,用户建议改进系统性能（如内存分配优化、替换allgather为gather、缩短引擎构建时间等）
requirement,测试框架改进需求,用户提出增强测试覆盖（如添加准确性测试脚本、迁移测试用例、添加条件分解测试等）
requirement,开发环境配置需求,用户需要优化开发工具链（如改进devcontainer、修复git lfs操作问题等）
requirement,硬件/软件兼容性需求,用户要求适配新硬件或框架（如支持Blackwell的FP8 KV Cache、导入ModelOpt预量化模型等）
requirement,用户使用便利性需求,用户希望提升易用性（如简化API调用、提供模板生成说明、改善日志记录等）
requirement,功能缺失修复需求,用户反馈现有功能不完善（如缺少带宽测量、不支持PyTorch PP+attention DP等）
requirement,缺乏对新模型架构的支持,用户希望添加对Phi-4-mini、Gemma3、Qwen2.5-VL等模型的支持
requirement,现有功能覆盖不足,用户请求新增chat completion、KV缓存传输度量、自定义采样器等功能
requirement,配置灵活性不足,用户需要添加纯Python配置（如PeftCacheConfig）或优化返回逻辑
requirement,文档内容过时或不完整,用户请求更新贡献指南、许可证注释、路线图等文档
requirement,工作流程需要优化,用户希望更新审批人列表、GitHub工作流程、测试机器人集成
requirement,性能优化需求,用户提出KV缓存传输度量、内存优化、技术优化方向等改进请求
question,功能支持存在疑问,用户询问吞吐量指标、分支差异、旧工作流是否废弃等问题
requirement,测试覆盖率不足,用户提出启用测试用例、改进Accuracy测试套件
requirement,依赖管理需要更新,用户要求更新cutlass库、调整requirements.txt依赖
requirement,权限管理需要完善,用户请求添加文档所有者、CODEOWNERs文件测试
question,技术路线不明确,用户询问是否会采纳DeepEP等优化技术或模型适配计划
requirement,自动化程度不足,用户希望触发bot运行、使用NVIDIA-gha收集测试结果
requirement,模型支持不足,"无法支持特定架构模型（如Qwen2.5-VL、DeepSeek V3/R1、NVILA等）的转换或引擎构建"
requirement,接口变更与文档缺失,"接口替换（如GptManager被Executor替代）导致用户困惑，需补充说明文档或示例"
requirement,性能优化需求,"现有参数无法直接控制内存/性能（如批处理设置、量化参数、并行机制），需优化计算瓶颈或资源管理"
requirement,文档不完善,"README或文档内容过时/缺失（如DeepSeek V3说明、Speculative decoding配置），需更新补充"
requirement,依赖库兼容性问题,"依赖库版本冲突（如GLIBC_2.38要求）导致旧系统无法运行"
requirement,功能扩展限制,"运行时功能受限（如Logits后处理器需初始化注册、动态形状输入处理困难），需解耦应用与模型部署"
requirement,新功能请求,"需支持新特性（如INT2/INT3量化、FP8 KV缓存、多模态模型部署、分块上下文选项）"
requirement,构建流程改进,"构建流程未覆盖特定需求（如Jetson平台版本兼容性、Docker中PyTorch版本滞后）"
question,操作指导需求,"用户询问实现方法（如量化自定义模型、Token ID转可读文本、Speculative decoding配置）"
question,支持计划确认,"用户确认框架是否计划支持特定功能（如DualPipe并行、InternVL2.5、Blackwell架构）"
requirement,文档维护不足,用户请求更新或补充项目文档（如linux.md、disaggregated-service.md、gh-pages分支等）
requirement,新模型支持需求,用户希望框架支持特定模型（如DeepSeek-V3、Phi4、InternVL 2.0、PaliGemma等）
requirement,功能实现缺失,用户提出需实现特定功能（如Min-P采样、动态批处理、低延迟基准数据、运行时参数动态配置等）
requirement,性能优化需求,用户反映模型编译性能不足或内存占用过高，请求优化配置
requirement,接口扩展需求,用户需要框架提供新接口（如获取hidden_states、可视化网络、传递图像数据等）
question,功能使用疑问,用户询问现有功能的使用方法（如attention类型选择、前缀缓存启用、参数配置方式等）
question,兼容性确认,用户确认框架是否支持特定模型或功能（如GLM4Voice、VLM模型支持等）
requirement,量化支持不足,用户请求增强量化功能（如w4a8量化、fp8/int8量化支持、lm_head量化等）
requirement,架构适配需求,用户需要修改模型架构以适应新配置（如Encoder-Decoder动态形状处理、自定义路由分布等）
requirement,工具链完善需求,用户请求添加CI/CD文件或修复构建问题（如c-cpp.yml添加、Windows构建问题修复等）
requirement,功能未实现,用户希望使用特定功能（如在线微调、In-flight batching、int8_kv_cache集成等），但当前框架尚未支持或存在兼容性问题
requirement,模型支持缺失,用户请求添加对新模型（如4bit量化模型、FLUX、ColBERT、qwen2.5等）的支持或部署方法
requirement,文档不完善,用户需要更详细的文档或指南（如BERT模型推理、C++示例、API参考页面更新等）
requirement,依赖兼容性问题,用户遇到因依赖版本冲突（如vLLM与TensorRTLLM的transformers版本）或缺少依赖集成（如outlines库）导致的问题
requirement,性能优化需求,用户提出对吞吐量、确定性生成、GPU利用率或性能优化（如LogitsProcessor追加token）的需求
requirement,API功能限制,用户因API功能缺失（如C++ API中提示嵌入表设置、executor::Response字段访问）而无法实现特定操作
requirement,硬件兼容性问题,用户询问框架是否支持特定硬件（如仅CPU推理、RISCV架构）或GPU配置（如多GPU并行）
requirement,代码或配置错误,用户需要解决因代码缺失（如cubin.cpp文件）或配置错误（如多LoRA设置路径）导致的功能障碍
requirement,文档内容更新,用户提出文档中存在错误或需补充信息（如BF16支持说明、复制代码小部件缺失等）
requirement,框架功能更新,用户请求更新框架版本或修复已知问题（如TensorRT 10.5的MLLaMa构建问题需降级版本）
requirement,文档或示例缺失,用户询问如何添加新模型或功能，缺乏相关文档或示例指导
requirement,功能未实现,用户请求支持特定模型（如Qwen2、llama3.1、KOSMOS-2.5等）或功能（如多Lora支持、input_embeds输入）
requirement,版本升级需求,用户提出升级TensorRT-LLM版本或依赖库版本（如CUDA、TensorRT）
requirement,性能优化需求,用户提出优化内存使用、减少延迟（如Int8 KV缓存兼容性、MMHA kernel优化）
requirement,平台兼容性需求,用户请求支持特定平台（如Windows库、cuda12.5、MPI替代方案）
requirement,接口或配置改进,用户希望修改API、输入格式（如batch manager替换、多GPU配置）
question,功能确认,用户询问现有功能是否支持（如encoder_repetition_penalty、序列分类）
question,操作指导,用户咨询如何实现特定操作（如使用nccl插件、量化方法集成）
question,兼容性确认,用户确认环境兼容性（如Python/CUDA版本要求）
bug,内存限制,用户报告因内存不足导致无法支持长上下文输入（如32k context OOM）
requirement,文档更新需求,用户请求更新文档（如gh-pages、快速入门指南）
requirement,功能扩展需求,用户提出新增功能（如KV缓存复用、同步配置文件创建）
requirement,代码开源需求,用户询问特定模块（如batch_manager、executor）的开源计划
requirement,新模型支持需求,用户希望框架支持新的模型架构或版本（如Llama 3.1、Mistral Large 2、GEMMA2、Interleaved MoE等）
requirement,功能缺失,当前框架缺少关键功能（如灵活的logit后处理器API、多Lora推理支持、跨注意力与FMHA核的兼容性）
requirement,性能优化需求,用户指出计算冗余（如交叉注意力）、量化性能差（如FP8在H100表现不佳）或特定硬件加速需求（如V100双缓冲优化）
requirement,文档维护需求,文档不完整或过时（如Windows部分文档、GitHub图片链接、版本发布信息）
requirement,API灵活性不足,现有API限制功能扩展（如无法传递自定义参数到后处理器、无法支持自定义alibi slopes）
question,兼容性咨询,用户询问框架与特定硬件（如Jetson Orin Nano）、模型（如RecurrentGemma）或功能（如FlashAttention 3）的兼容性
requirement,量化支持不足,量化功能限制（如不支持int类型zeropoints、FP32 LoRA量化兼容性问题）
requirement,硬件支持需求,用户提出对特定硬件（如RTX4090稀疏优化）或驱动（如GPU驱动缺失）的支持需求
requirement,版本更新需求,用户或开发者提出更新框架版本（如添加新特性、修复兼容性问题）
question,信息不足或咨询,用户因缺乏明确文档询问功能实现细节（如吞吐量基准测试方法、自定义模型量化流程）
requirement,动态内存管理需求,请求分页功能支持以实现动态内存管理（如vAttention风格分页）
requirement,多模态支持需求,用户希望框架支持多模态模型（如InternVL、Paligemma、Llavanext系列）
requirement,社区资源需求,用户提出创建讨论频道（如Discord）以增强协作
requirement,缺乏对新模型架构的支持,用户希望添加对特定模型（如GLM-4、DeepSeek MoE、Mixtral 8x7B）的支持
requirement,参数或配置选项缺失,用户询问如何设置参数以匹配其他框架功能（如do_sample=False、past_key_values参数）
requirement,功能实现不完善,用户提出需要新增功能（如Dual Chunk Attention、IFB支持、remove_input_padding特性）
requirement,性能优化需求,用户希望改进预填充速率、解码速度或模型性能指标测量
